Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,translated_text,Energy_Category,Aspect_Category,processed_text,Likes_numeric,textblob_sentiment,TextBlob sentiment,TextBlob sentiment_category,bert_sentiment,bert_sentiment category,bert_sentiment_category
Patrick Gorman MP,@PatrickGormanMP,https://pbs.twimg.com/ext_tw_video_thumb/1699953397594812416/pu/img/ulbmg9hmq8mBeNB2.jpg,2,4,2.0,469,https://x.com/PatrickGormanMP/status/1699953482160394310,https://x.com/PatrickGormanMP,"Happy first birthday to one of the first pieces of legislation introduced by the Albanese Government. 

Our Climate Change Bill put Australia on course to net zero emissions and a future as a renewable energy superpower.","Sep 8, 2023",2023-09-08T01:11:08.000Z,"Happy first birthday to one of the first pieces of legislation introduced by the Albanese Government.

Our Climate Change Bill put Australia on course to net zero emissions and a future as a renewable energy superpower.",Other,Policy,happy first birthday one first piece legislation introduced albanese government climate change bill put australia course net zero emission future renewable energy superpower,4.0,0.26,3.52,Neutral,5,Very Positive,Very Positive
Stop These Things,@StopTheseThings,,13,18,,444,https://x.com/StopTheseThings/status/1655112891001978880,https://x.com/StopTheseThings,Perfect Insanity: Australia’s Renewable Energy ‘Policy’ Guarantees Blackouts & Rocketing Prices,"May 7, 2023",2023-05-07T07:30:38.000Z,Perfect Insanity: Australia’s Renewable Energy ‘Policy’ Guarantees Blackouts & Rocketing Prices,Other,Policy,perfect insanity australia renewable energy policy guarantee blackout rocketing price,18.0,1.0,5.0,Very Positive,5,Very Positive,Very Positive
"Ewart, Dave",@davidbewart,,5,5,1.0,527,https://x.com/davidbewart/status/1668911742515286018,https://x.com/davidbewart,"Senator David Van's stance on energy policy is somewhat mixed. He has voted consistently against increasing investment in renewable energy

. On Twitter, he criticized the Labor Government's energy policies, which he believes are making Australia a poor destination for investment","Jun 14, 2023",2023-06-14T09:22:20.000Z,"Senator David Van's stance on energy policy is somewhat mixed. He has voted consistently against increasing investment in renewable energy

. On Twitter, he criticized the Labor Government's energy policies, which he believes are making Australia a poor destination for investment",Other,Policy,senator david van stance energy policy somewhat mixed voted consistently increasing investment renewable energy twitter criticized labor government energy policy belief making australia poor destination investment,5.0,-0.05000000000000001,2.9,Negative,3,Neutral,Neutral
Australia in Sri Lanka,@AusHCSriLanka,,3,8,1.0,1.4K,https://x.com/AusHCSriLanka/status/1671748110975107072,https://x.com/AusHCSriLanka,"(1/2) Are you a mid-to-senior level government official working in climate change or energy policy, practice, research or reform? We are offering a unique #climatechange professional short course on ‘Grid Integration of Renewable Energy’ to participants from IORA Member States.","Jun 22, 2023",2023-06-22T05:13:03.000Z,"(1/2) Are you a mid-to-senior level government official working in climate change or energy policy, practice, research or reform? We are offering a unique #climatechange professional short course on ‘Grid Integration of Renewable Energy’ to participants from IORA Member States.",Other,Policy,midtosenior level government official working climate change energy policy practice research reform offering unique climatechange professional short course grid integration renewable energy participant iora member state,8.0,0.15833333333333333,3.32,Neutral,2,Negative,Negative
Australia Institute,@TheAusInstitute,https://pbs.twimg.com/ext_tw_video_thumb/1628985360977117186/pu/img/gExmSkvA20_JQe5O.jpg,37,77,2.0,15K,https://x.com/TheAusInstitute/status/1628989717206409217,https://x.com/TheAusInstitute,"We had a climate policy that WORKED: the Renewable Energy Target.

 Now our policies incentivise companies to offset their emissions. This DOESN'T WORK.

It's simple. We can either delay, or decarbonise. Currently, we're delaying.

@ElizaLittleton explains. #auspol","Feb 24, 2023",2023-02-24T05:26:28.000Z,"We had a climate policy that WORKED: the Renewable Energy Target.

Now our policies incentivise companies to offset their emissions. This DOESN'T WORK.

It's simple. We can either delay, or decarbonise. Currently, we're delaying.

@ElizaLittleton explains. #auspol",Other,Policy,climate policy worked renewable energy target policy incentivise company offset emission doesnt work simple either delay decarbonise currently delaying elizalittleton explains auspol,77.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
John Kehoe,@Johnkehoe23,,515,1.6K,233.0,146K,https://x.com/Johnkehoe23/status/1801169138926432425,https://x.com/Johnkehoe23,"A nuclear energy scientist says he is a victim of “cancel culture”, after Engineers Australia called off his scheduled pro-nuclear speech following pressure from renewable energy advocate Simon Holmes à Court",Jun 13,2024-06-13T08:26:01.000Z,"A nuclear energy scientist says he is a victim of “cancel culture”, after Engineers Australia called off his scheduled pro-nuclear speech following pressure from renewable energy advocate Simon Holmes à Court",Nuclear Energy,Other,nuclear energy scientist say victim cancel culture engineer australia called scheduled pronuclear speech following pressure renewable energy advocate simon holmes court,1600.0,-0.037500000000000006,2.92,Negative,1,Very Negative,Very Negative
Australian Renewable Energy Agency (ARENA),@arenagovau,"https://pbs.twimg.com/media/FyjjcrraEAEg9SD?format=jpg&name=small, https://pbs.twimg.com/media/FyjjcrraEAEg9SD?format=jpg&name=small",6,6,,1.6K,https://x.com/arenagovau/status/1668833760761241600,https://x.com/arenagovau,ARENAWIRE: The IEA’s Australia 2023 Energy Policy Review commends Australia’s recent progress toward a sustainable renewable energy future but says a lot of work is still needed to complete the job. https://arena.gov.au/blog/how-the-iea-rates-australias-energy-transition/…,"Jun 14, 2023",2023-06-14T04:12:28.000Z,ARENAWIRE: The IEA’s Australia 2023 Energy Policy Review commends Australia’s recent progress toward a sustainable renewable energy future but says a lot of work is still needed to complete the job. https://arena.gov.au/blog/how-the-iea-rates-australias-energy-transition/…,Other,Policy,arenawire ieas australia energy policy review commends australia recent progress toward sustainable renewable energy future say lot work still needed complete job httpsarenagovaubloghowtheiearatesaustraliasenergytransition,6.0,0.03333333333333333,3.07,Neutral,4,Positive,Positive
Andrew Laird,@ReclaimAnglesea,,7,14,7.0,1.1K,https://x.com/ReclaimAnglesea/status/1809776406093787179,https://x.com/ReclaimAnglesea,"‘There’s angry people out there’: inside the renewable energy resistance in regional Australia

(Appeasing a noisy minority of climate science deniers who fear a loss of amenity would be poor public policy ⁦⁦@AlboMP⁩ and ⁦@JacintaAllanMP⁩)",Jul 7,2024-07-07T02:28:13.000Z,"‘There’s angry people out there’: inside the renewable energy resistance in regional Australia

(Appeasing a noisy minority of climate science deniers who fear a loss of amenity would be poor public policy ⁦⁦@AlboMP⁩ and ⁦@JacintaAllanMP⁩)",Other,Policy,there angry people inside renewable energy resistance regional australia appeasing noisy minority climate science denier fear loss amenity would poor public policy albomp jacintaallanmp,14.0,-0.3,2.4,Negative,1,Very Negative,Very Negative
Mohammed Atif,@energy_mar,"https://pbs.twimg.com/media/GEbtfC4XoAEvAPn?format=jpg&name=small, https://pbs.twimg.com/media/GEbtfC4XoAEvAPn?format=jpg&name=small",2,12,1.0,271,https://x.com/energy_mar/status/1749347833939992966,https://x.com/energy_mar,"RENEWABLES 

Today a case study from Australia . Renewables ARE the future. 

Australia currently has about 40% renewable electricity, mostly solar and wind. 

This is not causing wholesale spot prices to change, nor destabilizing the grid. 

With current policy,",Jan 22,2024-01-22T08:26:39.000Z,"RENEWABLES

Today a case study from Australia . Renewables ARE the future.

Australia currently has about 40% renewable electricity, mostly solar and wind.

This is not causing wholesale spot prices to change, nor destabilizing the grid.

With current policy,",Other,Policy,renewables today case study australia renewables future australia currently renewable electricity mostly solar wind causing wholesale spot price change destabilizing grid current policy,12.0,0.125,3.25,Neutral,5,Very Positive,Very Positive
Adam Creighton,@Adam_Creighton,,19,78,22.0,2.9K,https://x.com/Adam_Creighton/status/1806455052825248007,https://x.com/Adam_Creighton,"RBA deputy talks up renewable energy potential
Watch out Russia and ME, Australia's going to be a Renewable Energy Superpower (whatever that means)!",Jun 28,2024-06-27T22:30:21.000Z,"RBA deputy talks up renewable energy potential
Watch out Russia and ME, Australia's going to be a Renewable Energy Superpower (whatever that means)!",Other,Other,rba deputy talk renewable energy potential watch russia australia going renewable energy superpower whatever mean,78.0,0.0,3.0,Neutral,5,Very Positive,Very Positive
Australian Solar and Renewable Energy News,@AusSolarNews,"https://pbs.twimg.com/media/GQexBdxWEAASHDt?format=jpg&name=small, https://pbs.twimg.com/media/GQexBdxWEAASHDt?format=jpg&name=small",,,,23,https://x.com/AusSolarNews/status/1803604816821678313,https://x.com/AusSolarNews,"Dutton promises energy solutions, nuclear policy... https://pv-magazine-australia.com/2024/06/20/dutton-promises-energy-solutions-nuclear-policy-still-leaves-australians-in-dark/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #SolarRevolution #SolarSustainability",Jun 20,2024-06-20T01:44:32.000Z,"Dutton promises energy solutions, nuclear policy... https://pv-magazine-australia.com/2024/06/20/dutton-promises-energy-solutions-nuclear-policy-still-leaves-australians-in-dark/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #SolarRevolution #SolarSustainability",Nuclear Energy,Policy,dutton promise energy solution nuclear policy httpspvmagazineaustraliacomduttonpromisesenergysolutionsnuclearpolicystillleavesaustraliansindarkutmsourcespsutmmediumtwitterausolarnews solarrevolution solarsustainability,,0.0,3.0,Neutral,1,Very Negative,Very Negative
The Edge Convention Centre,@EdgeConventionC,https://pbs.twimg.com/ext_tw_video_thumb/1821908822388051968/pu/img/C-PMsMUnLfDTnGUV.jpg,1,1,1.0,77,https://x.com/EdgeConventionC/status/1821909085203087462,https://x.com/EdgeConventionC,"Over the past two days, The Edge Convention Centre was proud to host the Clean Energy Conference 2024!
This incredible event brought together energy professionals from Australia, Africa, & beyond to engage in meaningful discussions on Renewable Energy, Policy, Investment, & more.",Aug 9,2024-08-09T13:59:10.000Z,"Over the past two days, The Edge Convention Centre was proud to host the Clean Energy Conference 2024!
This incredible event brought together energy professionals from Australia, Africa, & beyond to engage in meaningful discussions on Renewable Energy, Policy, Investment, & more.",Other,Policy,past two day edge convention centre proud host clean energy conference incredible event brought together energy professional australia africa beyond engage meaningful discussion renewable energy policy investment,1.0,0.4847222222222222,3.97,Neutral,5,Very Positive,Very Positive
SmartEnergyCouncil,@SmartEnergyCncl,https://pbs.twimg.com/media/FnRl1iHXwAA0rgh?format=jpg&name=small,8,20,4.0,2.1K,https://x.com/SmartEnergyCncl/status/1618030157440188423,https://x.com/SmartEnergyCncl,"We're FIVE DAYS away from the Industry Climate Action Summit. 

We're bringing together policy-makers, renewable energy thought leaders, responsbile investment groups and Australia's biggest businesses. 

Tackling climate change takes cooperative action. 

#IndustryClimateAction","Jan 25, 2023",2023-01-24T23:37:05.000Z,"We're FIVE DAYS away from the Industry Climate Action Summit.

We're bringing together policy-makers, renewable energy thought leaders, responsbile investment groups and Australia's biggest businesses.

Tackling climate change takes cooperative action.

#IndustryClimateAction",Other,Policy,five day away industry climate action summit bringing together policymakers renewable energy thought leader responsbile investment group australia biggest business tackling climate change take cooperative action industryclimateaction,20.0,0.1,3.2,Neutral,5,Very Positive,Very Positive
SmartEnergyCouncil,@SmartEnergyCncl,"https://pbs.twimg.com/media/Fnq_nHvX0AEwRlo?format=jpg&name=small, https://pbs.twimg.com/media/Fnq_nHvX0AEwRlo?format=jpg&name=small",,,,230,https://x.com/SmartEnergyCncl/status/1619817715769769984,https://x.com/SmartEnergyCncl,"The Industry Climate Action Summit is underway TODAY!

Australia's most prominent policy-makers, big business, responsible investors and renewable energy thought leaders... converging to harness the major economic/job benefits of tackling climate change.

#IndustryClimateAction","Jan 30, 2023",2023-01-29T22:00:12.000Z,"The Industry Climate Action Summit is underway TODAY!

Australia's most prominent policy-makers, big business, responsible investors and renewable energy thought leaders... converging to harness the major economic/job benefits of tackling climate change.

#IndustryClimateAction",Other,Policy,industry climate action summit underway today australia prominent policymakers big business responsible investor renewable energy thought leader converging harness major economicjob benefit tackling climate change industryclimateaction,,0.23124999999999998,3.46,Neutral,5,Very Positive,Very Positive
C h r i s   Free Palestine,@ChrisHeHim1,,20,33,3.0,678,https://x.com/ChrisHeHim1/status/1727583318009635052,https://x.com/ChrisHeHim1,"The Albanese government’s plan to turbo-charge the development of renewable energy has been described as a “landmark” policy for the nation’s transition away from fossil fuels and has been broadly welcomed by industry and state governments.
https://theguardian.com/australia-news/2023/nov/23/albanese-government-renewable-energy-investment-scheme?CMP=share_btn_tw… #auspol #nswpol","Nov 23, 2023",2023-11-23T07:02:14.000Z,"The Albanese government’s plan to turbo-charge the development of renewable energy has been described as a “landmark” policy for the nation’s transition away from fossil fuels and has been broadly welcomed by industry and state governments.
https://theguardian.com/australia-news/2023/nov/23/albanese-government-renewable-energy-investment-scheme?CMP=share_btn_tw… #auspol #nswpol",Other,Policy,albanese government plan turbocharge development renewable energy described landmark policy nation transition away fossil fuel broadly welcomed industry state government httpstheguardiancomaustralianewsnovalbanesegovernmentrenewableenergyinvestmentschemecmpsharebtntw auspol nswpol,33.0,0.0625,3.12,Neutral,5,Very Positive,Very Positive
Ocarina Jones,@OcarinaJones,"https://pbs.twimg.com/media/GOnp8jVbgAASoOf?format=png&name=small, https://pbs.twimg.com/media/GOnp8jVbgAASoOf?format=png&name=small",12,26,10.0,1K,https://x.com/OcarinaJones/status/1795227851844968460,https://x.com/OcarinaJones,"A stealth boondoggle
Peter O'Brien The Spectator Australia 27 May 2024 

The NDIS is a public policy albatross, initiated with the worthiest of intentions, that has been allowed to mutate into a massive boondoggle, one right up there with Australia becoming a ‘renewable energy",May 28,2024-05-27T22:57:28.000Z,"A stealth boondoggle
Peter O'Brien The Spectator Australia 27 May 2024

The NDIS is a public policy albatross, initiated with the worthiest of intentions, that has been allowed to mutate into a massive boondoggle, one right up there with Australia becoming a ‘renewable energy",Other,Policy,stealth boondoggle peter obrien spectator australia may ndis public policy albatross initiated worthiest intention allowed mutate massive boondoggle one right australia becoming renewable energy,26.0,0.18392857142857144,3.37,Neutral,1,Very Negative,Very Negative
First Nations Clean Energy Network,@FirstNationsCEN,,1,2,,210,https://x.com/FirstNationsCEN/status/1652858806806917120,https://x.com/FirstNationsCEN,"First Nations Clean Energy Network has its work cut out when it comes to policy reform given the complex nature of Australia’s renewable energy regulatory framework.

That's Karrina Nolan talking. 

Ah yep, we do!

via @Eco_gen
https://ecogeneration.com.au/first-nations-clean-energy-harnessing-the-collective-power-of-indigenous-communities/#FirstNations… #indigenous #renewableenergy","May 1, 2023",2023-05-01T02:13:42.000Z,"First Nations Clean Energy Network has its work cut out when it comes to policy reform given the complex nature of Australia’s renewable energy regulatory framework.

That's Karrina Nolan talking.

Ah yep, we do!

via @Eco_gen
https://ecogeneration.com.au/first-nations-clean-energy-harnessing-the-collective-power-of-indigenous-communities/#FirstNations… #indigenous #renewableenergy",Other,Policy,first nation clean energy network work cut come policy reform given complex nature australia renewable energy regulatory framework thats karrina nolan talking ah yep via ecogen httpsecogenerationcomaufirstnationscleanenergyharnessingthecollectivepowerofindigenouscommunitiesfirstnations indigenous renewableenergy,2.0,0.08055555555555556,3.16,Neutral,2,Negative,Negative
Renew Economy,@renew_economy,,7,19,1.0,1.9K,https://x.com/renew_economy/status/1697549936794153317,https://x.com/renew_economy,Australia needs policy and market clarity if it is to reach its ambitious but attainable renewable energy targets..,"Sep 1, 2023",2023-09-01T10:00:18.000Z,Australia needs policy and market clarity if it is to reach its ambitious but attainable renewable energy targets..,Other,Policy,australia need policy market clarity reach ambitious attainable renewable energy target,19.0,0.25,3.5,Neutral,3,Neutral,Neutral
GGee,@22thinkinggirl,https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small,,5,,79,https://x.com/22thinkinggirl/status/1837995979888636232,https://x.com/22thinkinggirl,"Australia’s energy future should be about nation building for future generations. 

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Sep 23,2024-09-22T23:22:44.000Z,"Australia’s energy future should be about nation building for future generations.

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Other,Policy,australia energy future nation building future generation labor need come clean today tell u much renewable policy cost billion paid overseas company land owner millionaire bloombergnef estimate,5.0,0.14166666666666666,3.28,Neutral,5,Very Positive,Very Positive
Mike Rann,@Mike_Rann,,244,613,72.0,18K,https://x.com/Mike_Rann/status/1840710587048669374,https://x.com/Mike_Rann,"When South Australia’s renewable energy and emission reduction ambitions were first announced and targets incorporated in legislation, they were widely derided as unachievable. SA has instead overachieved and is an international pacesetter.  @ClimateGroup @TheAusInstitute",Sep 30,2024-09-30T11:09:37.000Z,"When South Australia’s renewable energy and emission reduction ambitions were first announced and targets incorporated in legislation, they were widely derided as unachievable. SA has instead overachieved and is an international pacesetter.  @ClimateGroup @TheAusInstitute",Other,Policy,south australia renewable energy emission reduction ambition first announced target incorporated legislation widely derided unachievable sa instead overachieved international pacesetter climategroup theausinstitute,613.0,0.049999999999999996,3.1,Neutral,1,Very Negative,Very Negative
Renew Economy,@renew_economy,,7,19,1.0,1.9K,https://x.com/renew_economy/status/1697549936794153317,https://x.com/renew_economy,Australia needs policy and market clarity if it is to reach its ambitious but attainable renewable energy targets..,"Sep 1, 2023",2023-09-01T10:00:18.000Z,Australia needs policy and market clarity if it is to reach its ambitious but attainable renewable energy targets..,Other,Policy,australia need policy market clarity reach ambitious attainable renewable energy target,19.0,0.25,3.5,Neutral,3,Neutral,Neutral
GGee,@22thinkinggirl,"https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small, https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small",,5,,79,https://x.com/22thinkinggirl/status/1837995979888636232,https://x.com/22thinkinggirl,"Australia’s energy future should be about nation building for future generations. 

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Sep 23,2024-09-22T23:22:44.000Z,"Australia’s energy future should be about nation building for future generations.

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Other,Policy,australia energy future nation building future generation labor need come clean today tell u much renewable policy cost billion paid overseas company land owner millionaire bloombergnef estimate,5.0,0.14166666666666666,3.28,Neutral,5,Very Positive,Very Positive
Mike Rann,@Mike_Rann,,244,613,72.0,18K,https://x.com/Mike_Rann/status/1840710587048669374,https://x.com/Mike_Rann,"When South Australia’s renewable energy and emission reduction ambitions were first announced and targets incorporated in legislation, they were widely derided as unachievable. SA has instead overachieved and is an international pacesetter.  @ClimateGroup @TheAusInstitute",Sep 30,2024-09-30T11:09:37.000Z,"When South Australia’s renewable energy and emission reduction ambitions were first announced and targets incorporated in legislation, they were widely derided as unachievable. SA has instead overachieved and is an international pacesetter.  @ClimateGroup @TheAusInstitute",Other,Policy,south australia renewable energy emission reduction ambition first announced target incorporated legislation widely derided unachievable sa instead overachieved international pacesetter climategroup theausinstitute,613.0,0.049999999999999996,3.1,Neutral,1,Very Negative,Very Negative
RegFlow Hub,@RegFlowHub,,,,,141,https://x.com/RegFlowHub/status/1764471398800720356,https://x.com/RegFlowHub,"[Climate Risk]

 Minister for Industry | Australia's Clean Energy Transition and Collaboration with ASEAN Countries

• Australia is focused on becoming a renewable energy superpower through legislation and targeted measures to reduce energy prices, setting ambitious emissions",Mar 4,2024-03-04T02:02:18.000Z,"[Climate Risk]

Minister for Industry | Australia's Clean Energy Transition and Collaboration with ASEAN Countries

• Australia is focused on becoming a renewable energy superpower through legislation and targeted measures to reduce energy prices, setting ambitious emissions",Other,Policy,climate risk minister industry australia clean energy transition collaboration asean country australia focused becoming renewable energy superpower legislation targeted measure reduce energy price setting ambitious emission,,0.35555555555555557,3.71,Neutral,5,Very Positive,Very Positive
"Millan Lemoine, CFA - markets reaction analysis",@marketlyt,,,,,16,https://x.com/marketlyt/status/1778319666986828195,https://x.com/marketlyt,"According to the AFP News Agency, Australia's Prime Minister has unveiled a plan to overhaul the economy and invest in green energy. This initiative signals a significant shift in Australia's economic policy, with a focus on sustainability and renewable energy sources. Further",Apr 11,2024-04-11T07:10:22.000Z,"According to the AFP News Agency, Australia's Prime Minister has unveiled a plan to overhaul the economy and invest in green energy. This initiative signals a significant shift in Australia's economic policy, with a focus on sustainability and renewable energy sources. Further",Other,Policy,according afp news agency australia prime minister unveiled plan overhaul economy invest green energy initiative signal significant shift australia economic policy focus sustainability renewable energy source,,0.09375,3.19,Neutral,4,Positive,Positive
