Entity1,Relationship,Entity2,Date,Money
Jakarta,transitions (verb: expect),the Just Energy Transition Partnership,,multibillion-dollar
Indonesia,agreement (verb: include),South Africa,last year,
The International Energy Agency,share (verb: estimate),China,the coming years,
China,supply (verb: demonstrate),Japan,2010,
Paris,agreement (verb: achieve),China,,
China,supplies (verb: grow),Russia,,
China,transition (verb: play),the Indo-Pacific,,
Australia,engage (verb: find),China,,
Washington,developing (verb: do),America,,
Mekong,developing (verb: develop),Cambodia,,
Vietnam,cooperation (verb: locate),Mekong,,
China,shares (verb: seek),Mekong,,
China,financing (verb: build),Laos,,
China,cooperation (verb: establish),Lancang,2016.0,
The ASEAN Power Grid,develop (verb: propose),ASEAN,,
Laos,developed (verb: develop),Cambodia,,
Thailand,partnered (verb: partner),China,,
China,funding (verb: say),MW,,
Japan,invest (verb: invest),South Korea,,
the United States’ Lower Mekong Initiative,sharing (verb: give),LMI,,
LMI,promote (verb: use),Vietnam,2009.0,
LMI Ministerial Meeting,promoted (verb: push),the United States,2019.0,
India,cooperation (verb: re),Mekong-Ganga,,$1 billion
Australia,enhancing (verb: play),Morrison,,
Japan,partner (verb: seek),Thailand,,
Laos,transition (verb: drive),Cambodia,,
Mekong,collaboration (verb: indicate),Mekong,,
$8 trillion to,transition (verb: present),$11 trillion,annually,$8 trillion to
Indonesia,support (verb: increase),Nationally Determined Contribution,September 2022,
the Just Energy Transition Partnership,transition (verb: establish),Indonesia,2022,
JETP,share (verb: aim),Indonesia,2030,
Indonesia,supply (verb: base),EV,,
Singapore,exports (verb: spur),PV,,
Indonesia,efforts (verb: plan),LS Cable & System,,
"26,000 EVs",transition (verb: participate),Indonesia,2030,"26,000 EVs"
"26,000 EVs",transition (verb: participate),Indonesia,2030,"26,000 EVs"
Efforts,Efforts (verb: map),the Ministry of Energy and Mineral Resources,,
Indonesia,support (verb: set),GHG,2030,
the United States,partners (verb: announce),Indo-Pacific,,
The United States,interests (verb: have),the Indo-Pacific region,,
America,partners (verb: view),U.S.,,
White House,partner (verb: list),U.S.,,
U.S.,interests (verb: argue),the Indo-Pacific,,
Trans-Pacific Partnership,agreement (verb: achieve),TPP,,
TPP,partners (verb: bring),the United States,,
the United States,agreement (verb: withdraw),U.S.,early 2017,
the U.S.-Mexico-Canada Agreement,support (verb: believe),USMCA,2019,
The White House’s,develop (verb: develop),IPEF,,
IPEF,interests (verb: hold),U.S.,,
U.S.,partners (verb: discuss),U.S.,,
U.S.,interests (verb: advance),IPEF,,
The United States,agreement (verb: win),TPP,,
U.S.,partners (verb: move),the Indo-Pacific,2020,
U.S.,support (verb: propose),Indo-Pacific,,
the United States,agreement (verb: argue),Congress,,
America,agreement (verb: propose),Indo-Pacific,,
U.S.,interests (verb: advance),Indo-Pacific,,
IPEF,agreements (verb: ensure),APEC,,
U.S.,interests (verb: ensure),DEPA,,
IPEF,supply (verb: present),the United States,,
the United States,finance (verb: agree),Japan,,
The European Union,funds (verb: announce),$341 billion,,$341 billion
Australia,enhancing (verb: mean),Indonesia,,
The United States,agreement (verb: lead),Indo-Pacific,,
WTO,partners (verb: take),Environmental Goods Agreement,,
U.S.,fund (verb: exist),B3W,,
USMCA,agreement (verb: accord),IPEF,,
Department of Labor,agreements (verb: seek),IPEF,,
APEC,enhance (verb: give),U.S.,2023,
the United States,supply (verb: seek),IPEF,,
White House,partners (verb: state),IPEF,,
the United States,partners (verb: tell),IPEF,,
America,agreements (verb: believe),Indo-Pacific,,
U.S.,partners (verb: include),Japan,,
India,partners (verb: suggest),Bangladesh,,
the Association of Southeast Asian Nations,enhancing (verb: invite),ASEAN,its first year,
Laos,developed (verb: develop),Cambodia,,
Taiwan,partners (verb: consult),Taipei,,
The CSIS Economics Program’s,supported (verb: support),the Indo-Pacific Economic Framework,,
the United States,interests (verb: compete),Australia,,
the United States,cooperation (verb: highlight),Australia,,
U.S.,engage (verb: couple),Australia,,
India,collaboration (verb: include),Japan,,
the U.S.-Australia Strategic Energy Partnership,partner (verb: recognize),the United States,,
LNG,exports (verb: liquefy),the United States,,
The Asian Development Bank,developing (verb: estimate),$26 trillion,between 2016 and 2030,$26 trillion
more than $1 billion,partners (verb: announce),LNG,June 2019,more than $1 billion
the United States,support (verb: look),the U.S. International Development Finance Corporation,,
IEA,export (verb: note),the United States,every five months,
The United States,cooperation (verb: have),Australia,,
Australia,export,Australia,,
China,supplied (verb: mean),China,2018,
China,developing (verb: pledge),Japan,,
Japan,share (verb: look),South Korea,2030,
Japan,share (verb: announce),LNG,2030,
Japan,share (verb: make),South Korea,,
Japan,efforts (verb: develop),China,,
Australia,exports (verb: account),Japan,around a quarter,
Australia,exports (verb: comprise),LNG,,
Australia,exports (verb: estimate),LNG,,
China,exports,Japan,,
NGFS,transition (verb: provide),China,,
NGFS,exports (verb: use),Australia,,
China,exports (verb: fall),Japan,mid-century,
NDC,exports (verb: remain),China,the current decade,
NDC,exports (verb: increase),LNG,2020,
the Western Green Energy Hub,export (verb: propose),$100 billion,,$100 billion
China,exports (verb: achieve),Japan,mid-century,
Van Uffelen,exports (verb: see),Chambers,2019,
NGFS,share (verb: include),RBA,,
China,exports (verb: calibrate),Japan,,
China,Exports (verb: calibrate),Japan,,
Australia,export (verb: require),LNG,,
the Hydrogen Energy Supply Chain,exported (verb: produce),Victoria,October,
APEC,supply (verb: face),Ukraine,recent years,
LNG,supplies (verb: reduce),LNG,late 2021,
China,imports (verb: double),Japan,,
Indonesia,exports (verb: impose),Japan,one-month,
Australia,exports (verb: work),LNG,,
LNG,supplies (verb: grow),the United States,,
Australia,exports (verb: expect),LNG,,
Indonesia,exports (verb: see),Malaysia,,
Mexico,imported (verb: become),LNG,,
APEC,supplies (verb: face),LNG,,
The United States,supporting (verb: support),U.S.,,
U.S.,exports (verb: provide),APEC,,
the U.S Energy Information Administration,exports (verb: accord),U.S.,mid-2023,
the Indo-Pacific Economic Framework’s,agreements (verb: deliver),the United States,,
Japan,supported (verb: support),Quality Infrastructure Investment,,
The ASEAN Power Grid,import (verb: move),Singapore,,
The United States,efforts (verb: lead),China,,
kW,supply (verb: base),SMR,recent years,
Canada,supply (verb: have),SMR,,
Japan,cooperation (verb: expect),Indonesia,,
the Japan Nuclear Research and Development Organization,develop (verb: work),Indonesia,,
Japan,collaboration (verb: spend),Indonesia,,
Approximately US$1.2 trillion,supply (verb: focus),OECD,annually,Approximately US$1.2 trillion
Cambodia,finance (verb: mean),Laos,,
China,supply (verb: deliver),Indonesia,,
Bangkok,supply (verb: cool),Jakarta,,
Malaysia,supply (verb: redistribute),India,,
